mention,label,start,end,method
Cypher School,CANDIDATE,8813,8826,rule_heuristic
Bletchley Park,ORG,8830,8844,rule_gazetteer
Bletchley Park,CANDIDATE,8830,8844,rule_heuristic
Bletchley Park,ORG,8879,8893,rule_gazetteer
Bletchley Park,CANDIDATE,8879,8893,rule_heuristic
Official Secrets Act,CANDIDATE,8913,8933,rule_heuristic
the day,DATE,9291,9298,spacy_ner
W G Welchman,PERSON,9375,9387,spacy_ner
Enigma,CONCEPT,9524,9530,rule_gazetteer
Luftwaffe,ORG,9547,9556,spacy_ner
The Enigma,CANDIDATE,9558,9568,rule_heuristic
Enigma,CONCEPT,9562,9568,rule_gazetteer
Bletchley,GPE,9816,9825,spacy_ner
the United States,GPE,9841,9858,spacy_ner
United States,CANDIDATE,9845,9858,rule_heuristic
Bletchley,PERSON,9995,10004,spacy_ner
O.B.E.,ORG,10222,10228,spacy_ner
the National Physical Laboratory,ORG,10276,10308,spacy_ner
National Physical Laboratory,CANDIDATE,10280,10308,rule_heuristic
London,GPE,10312,10318,spacy_ner
Automatic Computing Engine,CANDIDATE,10366,10392,rule_heuristic
ACE,ORG,10547,10550,spacy_ner
Walton Athletic Club,ORG,11056,11076,spacy_ner
Walton Athletic Club,CANDIDATE,11056,11076,rule_heuristic
the University of Manchester,ORG,11194,11222,spacy_ner
University of Manchester,ORG,11198,11222,rule_gazetteer
Manchester,GPE,11212,11222,rule_gazetteer
the National Physical Laboratory,ORG,11286,11318,spacy_ner
National Physical Laboratory,CANDIDATE,11290,11318,rule_heuristic
Manchester,GPE,11342,11352,spacy_ner
Newman,PERSON,11354,11360,spacy_ner
F C Williams,ORG,11440,11452,spacy_ner
a few years,DATE,11554,11565,spacy_ner
today,DATE,11964,11969,spacy_ner
artificial intelligence,CONCEPT,11990,12013,rule_gazetteer
the Turing Test,WORK_OF_ART,12053,12068,spacy_ner
Turing Test,CANDIDATE,12057,12068,rule_heuristic
today,DATE,12084,12089,spacy_ner
a year,DATE,13773,13779,spacy_ner
British Prime Minister Gordon,CANDIDATE,13861,13890,rule_heuristic
Gordon Brown,PERSON,13884,13896,spacy_ner
Official Secrets Act,CANDIDATE,14357,14377,rule_heuristic
Bletchley Park,ORG,14405,14419,rule_gazetteer
Bletchley Park,CANDIDATE,14405,14419,rule_heuristic
Manchester,ORG,14594,14604,spacy_ner
Manchester,GPE,14594,14604,rule_gazetteer
Greece,GPE,15012,15018,spacy_ner
On Alan Turing,CANDIDATE,15303,15317,rule_heuristic
Alan Turing's,PERSON,15306,15319,spacy_ner
Alan Turing,PERSON,15306,15317,rule_gazetteer
F L Morris,ORG,15351,15361,spacy_ner
C B Jones,ORG,15366,15375,spacy_ner
Alan Turing,PERSON,15403,15414,spacy_ner
Alan Turing,CANDIDATE,15403,15414,rule_heuristic
Biographical Memoirs,WORK_OF_ART,15416,15436,spacy_ner
Biographical Memoirs,CANDIDATE,15416,15436,rule_heuristic
Fellows of the Royal Society of London,ORG,15440,15478,spacy_ner
Royal Society,CANDIDATE,15455,15468,rule_heuristic
London,GPE,15472,15478,rule_gazetteer
"London
Other",CANDIDATE,15472,15484,rule_heuristic
Earliest Known Uses,CANDIDATE,15486,15505,rule_heuristic
the Words of Mathematics,ORG,15517,15541,spacy_ner
Earliest Known Uses,CANDIDATE,15553,15572,rule_heuristic
the Words of Mathematics,ORG,15584,15608,spacy_ner
Earliest Known Uses,CANDIDATE,15620,15639,rule_heuristic
the Words of Mathematics,ORG,15651,15675,spacy_ner
Earliest Known Uses,CANDIDATE,15687,15706,rule_heuristic
the Words of Mathematics (M,ORG,15718,15745,spacy_ner
Earliest Known Uses,CANDIDATE,15754,15773,rule_heuristic
the Words of Mathematics,ORG,15785,15809,spacy_ner
